,NDB1,NDB2,NDB3,NDB4,DCB1,DCB2,DCB3,DCB4,DCB5
DUX4L2,0,1,0,3,0,0,0,0,0
SLC18A3,0,0,0,3,0,0,3,0,0
SLC18A2,0,259,55,210,107,9,362,160,154
SLC18A1,0,0,0,0,0,0,0,0,0
STRC,44,2196,1428,364,3615,897,1052,6964,1159
RALBP1,1135,3595,1409,2025,2506,1814,2864,3728,2342
ZNF831,0,124,107,499,292,87,50,542,159
ZNF830,267,508,235,457,599,274,343,830,456
ZNF835,0,27,17,11,0,11,27,0,0
ZNF837,33,21,42,21,27,18,30,38,62
ZNF836,426,459,1245,1644,2234,1506,1961,2746,3236
ZNF839,694,879,864,715,1223,451,952,3360,1458
LRIF1,316,2490,506,624,2033,440,603,1320,2393
FAM91A1,4266,7883,6408,4329,7606,4103,6208,9464,5942
CLYBL-AS2,0,0,0,0,0,0,0,0,0
CLYBL-AS1,0,0,0,0,0,0,0,0,0
MLK7-AS1,0,69,20,73,44,73,60,0,30
TUNAR,0,0,0,0,0,0,0,0,0
SUGCT,282,339,374,336,110,68,244,0,325
TSPY8,0,0,0,0,0,0,0,0,0
MIR4773-2,0,0,0,0,0,0,0,0,0
MIR4773-1,0,0,0,0,0,0,0,0,0
TSPY4,0,0,0,0,0,0,0,0,0
ZPBP,0,0,0,0,0,0,0,0,0
TSPY2,0,0,0,0,0,0,0,0,0
TSPY1,0,0,0,0,0,0,0,0,0
BEGAIN,14,25,9,70,0,24,7,0,28
RAB33A,0,72,157,33,61,0,27,0,34
SLC17A9,93,409,240,774,111,88,187,266,105
RAB33B,402,108,301,545,361,560,208,768,194
SLC17A4,0,0,0,0,0,0,0,0,0
SLC17A5,416,1311,1007,2115,1015,1206,788,2560,995
SLC17A6,0,0,0,0,0,0,0,0,0
SLC17A7,0,13,0,0,9,0,11,0,0
SLC17A1,0,0,0,0,0,0,0,0,0
SLC17A2,0,0,0,0,0,0,0,0,0
SLC17A3,0,0,0,0,0,0,0,0,0
C16orf58,1278,1097,976,2255,1622,2208,1423,1872,1415
C16orf59,280,173,89,146,239,252,177,254,282
C16orf52,58,211,210,241,260,281,247,342,74
C16orf54,0,64,34,11,41,0,0,92,0
ITCH,10908,14864,9008,13749,17085,20953,17891,24422,13006
CHMP4A,724,1278,665,630,1584,1030,1222,1838,994
CHMP4B,1906,8465,4160,6312,9511,7350,8250,8700,7021
CHMP4C,308,833,266,205,537,602,435,536,529
COBLL1,526,7519,7425,2040,8692,8008,3932,6252,4871
TMEM255B,140,124,71,401,46,124,332,0,43
TMEM255A,350,62,417,0,144,70,18,28,0
ST5,2325,3384,2302,4206,4527,4574,4992,4182,3304
ST7,874,1899,1016,1453,1560,1246,1299,2132,1527
TMEM173,511,2666,558,985,1892,1294,1712,956,565
STL,3,66,139,17,34,222,14,222,34
ZNF304,75,84,162,135,71,215,533,86,64
STH,0,0,3,0,0,0,0,0,0
ZNF302,628,1165,1261,1647,1298,1395,1808,3604,3100
ZNF300,270,259,154,254,801,1335,114,884,204
TP53TG5,169,51,19,128,71,104,58,162,0
STS,1167,761,2556,2494,1150,2693,6925,9150,4970
TRIM49D2P,0,0,0,0,0,0,0,0,0
TP53TG3,0,6,15,0,4,17,0,0,0
MIR4531,0,0,0,0,0,0,0,0,0
TP53TG1,0,6,0,0,0,0,0,0,0
